Year,Month,Day,Open,High,Low,Close,Volumn,Return
2018,12,24,0.95847,0.96012,0.95656,0.9573,2234,0.99997911
2018,12,23,0.95653,0.95868,0.95594,0.95847,74555,1.00122219
2018,12,21,0.96047,0.96286,0.9563,0.9563,83016,0.99773598
2018,12,20,0.95834,0.96239,0.95638,0.96047,70295,1.00436056
2018,12,19,0.9673,0.97028,0.95708,0.95833,63731,0.99777192
2018,12,18,0.9628,0.96808,0.9624,0.96729,52708,1.0093496
2018,12,17,0.96058,0.96294,0.95921,0.96256,9890,0.99511005
2018,12,16,0.9598,0.96093,0.9598,0.96056,60057,0.99792221
2018,12,14,0.96425,0.96484,0.95727,0.96029,55983,0.99971891
2018,12,13,0.96345,0.96774,0.96306,0.96425,66339,1.00412375
2018,12,12,0.96492,0.96686,0.96239,0.96344,68744,0.99915997
2018,12,11,0.96344,0.96709,0.96282,0.96494,71383,1.00155692
2018,12,10,0.9571,0.96428,0.95681,0.96344,3407,0.9984455
2018,12,9,0.95857,0.95899,0.95671,0.95712,73816,0.99344017
2018,12,7,0.96866,0.96951,0.95754,0.95916,88209,1.00213139
2018,12,6,0.97068,0.97204,0.96591,0.96867,59499,1.00991493
2018,12,5,0.97369,0.9749,0.96586,0.97069,77280,1.00208533
2018,12,4,0.97095,0.97389,0.9694,0.97367,63031,1.00306998
2018,12,3,0.97747,0.97747,0.97018,0.97094,4630,0.99719618
2018,12,2,0.97611,0.97751,0.97543,0.97745,59547,1.00670484
2018,11,30,0.972,0.97331,0.96971,0.97167,65433,0.99408665
2018,11,29,0.96938,0.97487,0.9687,0.97201,64429,1.00034991
2018,11,28,0.96115,0.97164,0.96098,0.96933,62558,0.99724283
2018,11,27,0.95737,0.96239,0.95666,0.96115,49965,0.99156118
2018,11,26,0.95666,0.96002,0.95546,0.95737,2966,0.99606721
2018,11,25,0.95577,0.95697,0.95576,0.95663,48318,0.99922705
2018,11,23,0.95632,0.95869,0.95254,0.95679,40487,1.00016725
2018,11,22,0.96059,0.96149,0.95575,0.95632,58034,0.99950877
2018,11,21,0.96028,0.96642,0.96015,0.96056,64908,1.00443366
2018,11,20,0.96092,0.96232,0.956,0.96027,48646,0.99969809
2018,11,19,0.96205,0.96362,0.95997,0.96091,4021,1.00066648
2018,11,18,0.96133,0.96276,0.96133,0.96204,57732,1.00117597
2018,11,16,0.95788,0.96542,0.95473,0.96383,73242,1.00186063
2018,11,15,0.95809,0.96482,0.95779,0.95787,72996,0.99381634
2018,11,14,0.95619,0.95919,0.95162,0.95809,69169,1.00022968
2018,11,13,0.95016,0.95709,0.94882,0.95618,55998,0.99800645
2018,11,12,0.9534,0.95416,0.94935,0.95015,4114,0.99369366
2018,11,11,0.95284,0.95376,0.95284,0.95341,61784,1.00343104
2018,11,9,0.95498,0.95679,0.9532,0.95423,65123,1.00086007
2018,11,8,0.95407,0.95684,0.953,0.95497,69035,1.00077549
2018,11,7,0.94994,0.9555,0.94774,0.95408,53739,0.99906803
2018,11,6,0.94553,0.95093,0.94484,0.94991,50715,0.9956293
2018,11,5,0.94309,0.94602,0.94144,0.94551,2860,0.99536798
2018,11,4,0.94102,0.94362,0.94102,0.94307,64886,0.99741938
2018,11,2,0.94215,0.94802,0.94182,0.94314,61481,1.00007423
2018,11,1,0.93158,0.94388,0.93116,0.94215,57181,0.99895031
2018,10,31,0.93108,0.93331,0.92784,0.93158,60710,0.98878098
2018,10,30,0.92688,0.93451,0.92659,0.93111,63924,0.99949548
2018,10,29,0.92958,0.93102,0.92608,0.92685,1353,0.99542482
2018,10,28,0.92854,0.92971,0.92813,0.92958,74331,1.00294546
2018,10,26,0.92534,0.92897,0.92081,0.92871,66580,0.99906409
2018,10,25,0.92156,0.92874,0.91974,0.92534,67712,0.99637131
2018,10,24,0.92659,0.92924,0.91755,0.92158,62644,0.99593663
2018,10,23,0.92713,0.92838,0.92441,0.92656,55944,1.00540376
2018,10,22,0.93233,0.93264,0.92685,0.92713,1949,1.00061518
2018,10,21,0.93136,0.93372,0.93136,0.93233,59621,1.00560871
2018,10,19,0.92839,0.93657,0.92708,0.93247,60540,1.00015016
2018,10,18,0.92566,0.93207,0.92543,0.92837,56140,0.99560308
2018,10,17,0.92362,0.92683,0.92315,0.92564,50547,0.99705936
2018,10,16,0.92701,0.92735,0.92234,0.92361,57564,0.99780692
2018,10,15,0.92516,0.93167,0.92479,0.927,1333,1.00367038
2018,10,14,0.92547,0.92638,0.92515,0.92517,57142,0.99802589
2018,10,12,0.92795,0.92937,0.92554,0.92645,79156,1.00138353
2018,10,11,0.92195,0.92887,0.92136,0.92794,54553,1.00160829
2018,10,10,0.91977,0.92429,0.91869,0.92197,49967,0.99356639
2018,10,9,0.91656,0.91996,0.91578,0.91979,45280,0.9976355
2018,10,8,0.91343,0.91886,0.91269,0.91653,2207,0.99645571
2018,10,7,0.91299,0.91382,0.91251,0.91342,50784,0.99660677
2018,10,5,0.91464,0.91572,0.9115,0.91214,54988,0.99859867
2018,10,4,0.91451,0.91492,0.91048,0.91463,53855,1.00272984
2018,10,3,0.92161,0.92206,0.91322,0.91447,50116,0.99982507
2018,10,2,0.92537,0.92663,0.91931,0.92162,49831,1.00781874
2018,10,1,0.92837,0.92894,0.92267,0.92536,1853,1.00405807
2018,9,30,0.92856,0.93058,0.92755,0.92839,45096,1.0032744
2018,9,28,0.93892,0.94082,0.93125,0.93135,52487,1.00318832
2018,9,27,0.94645,0.94741,0.93878,0.93894,51237,1.00814946
2018,9,26,0.93907,0.94907,0.93813,0.94648,42017,1.00803033
2018,9,25,0.93935,0.94069,0.93776,0.93902,41221,0.99211816
2018,9,24,0.93941,0.94219,0.9381,0.93935,1307,1.00035143
2018,9,23,0.93903,0.93977,0.93838,0.93942,44867,1.00007452
2018,9,21,0.94056,0.94227,0.93814,0.94099,50516,1.00167124
2018,9,20,0.93795,0.94154,0.93718,0.94058,55344,0.99956429
2018,9,19,0.93762,0.94282,0.9364,0.93796,58127,0.99721448
2018,9,18,0.93385,0.94038,0.93322,0.93759,40692,0.99960553
2018,9,17,0.93251,0.93639,0.93162,0.93388,1229,0.99604305
2018,9,16,0.93208,0.93348,0.93208,0.93249,45197,0.99851159
2018,9,14,0.93461,0.93731,0.93196,0.93211,51200,0.99959249
2018,9,13,0.93203,0.93905,0.93168,0.93465,53846,1.002725
2018,9,12,0.92958,0.93336,0.92713,0.93203,49465,0.99719681
2018,9,11,0.93617,0.93665,0.92876,0.92959,40584,0.99738206
2018,9,10,0.93655,0.93981,0.9352,0.93616,1504,1.00706763
2018,9,9,0.93479,0.937,0.93479,0.93654,59980,1.00040591
2018,9,7,0.94676,0.94707,0.93504,0.93534,58301,0.99871869
2018,9,6,0.94752,0.95176,0.94501,0.94676,55727,1.01220946
2018,9,5,0.94619,0.95026,0.94345,0.94755,55065,1.00083442
2018,9,4,0.94405,0.94783,0.94118,0.9462,42625,0.99857527
2018,9,3,0.93877,0.94505,0.93694,0.94404,1736,0.99771718
2018,9,2,0.93948,0.9398,0.93813,0.93878,60863,0.9944282
2018,8,31,0.94291,0.94462,0.93633,0.93795,55861,0.99911587
2018,8,30,0.94348,0.94681,0.94013,0.94291,55277,1.00528813
2018,8,29,0.94867,0.94965,0.94194,0.94347,54391,1.00059391
2018,8,28,0.95275,0.95276,0.9478,0.94867,48761,1.00551157
2018,8,27,0.95461,0.95576,0.95155,0.95272,2338,1.00426913
2018,8,26,0.95408,0.95471,0.9537,0.9546,52844,1.0019733
2018,8,24,0.9487,0.9564,0.94834,0.95409,52911,0.99946574
2018,8,23,0.95514,0.95523,0.94738,0.94871,53087,0.99436112
2018,8,22,0.95961,0.95995,0.95451,0.95515,53343,1.00678816
2018,8,21,0.95784,0.96125,0.95596,0.9596,44522,1.00465895
2018,8,20,0.95477,0.95802,0.95343,0.95785,1003,0.99817632
2018,8,19,0.95534,0.95556,0.95457,0.95478,51673,0.99679491
2018,8,17,0.95542,0.95738,0.95081,0.95542,66455,1.00067031
2018,8,16,0.95125,0.95703,0.94897,0.95541,63343,0.99998953
2018,8,15,0.94501,0.95248,0.9418,0.95125,56096,0.99564585
2018,8,14,0.95462,0.95528,0.94484,0.94502,65055,0.99345072
2018,8,13,0.95839,0.95917,0.95376,0.95462,2293,1.01015852
2018,8,12,0.95711,0.95875,0.95704,0.9584,71597,1.00395969
2018,8,10,0.96182,0.96218,0.95263,0.95883,49484,1.00044866
2018,8,9,0.96732,0.96935,0.96173,0.96184,49912,1.00313924
2018,8,8,0.96883,0.97067,0.96642,0.96733,44876,1.00570781
2018,8,7,0.9604,0.97012,0.95995,0.96883,37146,1.00155066
2018,8,6,0.96226,0.96259,0.95997,0.96041,1125,0.9913091
2018,8,5,0.96085,0.96314,0.96075,0.96226,50263,1.00192626
2018,8,3,0.95882,0.96248,0.95785,0.96082,46468,0.99850352
2018,8,2,0.96255,0.96305,0.9584,0.95882,52736,0.99791844
2018,8,1,0.9652,0.96614,0.96103,0.96257,59990,1.00391106
2018,7,31,0.96548,0.97083,0.96447,0.96518,41740,1.00271149
2018,7,30,0.96683,0.96746,0.96262,0.96548,690,1.00031082
2018,7,29,0.96635,0.96703,0.96618,0.96671,49302,1.00127398
2018,7,27,0.96447,0.96869,0.96301,0.96648,56846,0.99976208
2018,7,26,0.97174,0.97263,0.96388,0.96449,66374,0.99794098
2018,7,25,0.9767,0.97868,0.96978,0.97173,56749,1.00750656
2018,7,24,0.97229,0.97706,0.97075,0.9767,54285,1.00511459
2018,7,23,0.97519,0.97554,0.97031,0.97225,2266,0.99544384
2018,7,22,0.97388,0.97535,0.97388,0.9752,75759,1.0030342
2018,7,20,0.97579,0.9782,0.97163,0.97509,73691,0.9998872
2018,7,19,0.97431,0.97947,0.97039,0.97576,57625,1.00068712
2018,7,18,0.97419,0.97636,0.97264,0.97425,59354,0.99845249
2018,7,17,0.97455,0.9761,0.97249,0.97422,50510,0.99996921
2018,7,16,0.97653,0.97804,0.97333,0.97455,1248,1.00033873
2018,7,15,0.9764,0.97672,0.97529,0.97652,49873,1.00202145
2018,7,13,0.97481,0.97653,0.97256,0.97644,58649,0.99991808
2018,7,12,0.97274,0.97643,0.97249,0.9748,77500,0.99832043
2018,7,11,0.97574,0.97647,0.96818,0.97273,53699,0.99787649
2018,7,10,0.97903,0.98135,0.97464,0.97575,50763,1.00310466
2018,7,9,0.97315,0.9793,0.97293,0.97904,1592,1.00337177
2018,7,8,0.97282,0.97364,0.97269,0.97315,60228,0.9939839
2018,7,6,0.97018,0.97694,0.96989,0.97263,65706,0.99946565
2018,7,5,0.97032,0.97203,0.96848,0.97018,57241,0.99748106
2018,7,4,0.97069,0.97362,0.96927,0.97032,66764,1.0001443
2018,7,3,0.96765,0.97431,0.96609,0.9707,61896,1.00039162
2018,7,2,0.97266,0.97321,0.96589,0.96764,2318,0.99684764
2018,7,1,0.97299,0.97358,0.97235,0.97272,59308,1.00524989
2018,6,29,0.97427,0.97897,0.97104,0.97283,75684,1.00011308
2018,6,28,0.97887,0.98117,0.97347,0.97426,83518,1.00146994
2018,6,27,0.98315,0.98408,0.97739,0.97888,71264,1.00474206
2018,6,26,0.98549,0.98622,0.98237,0.98318,58416,1.00439278
2018,6,25,0.98718,0.98832,0.98435,0.98551,1262,1.00236986
2018,6,24,0.98713,0.98749,0.98682,0.98716,62257,1.00167426
2018,6,22,0.98253,0.9933,0.9819,0.98664,70126,0.99947324
2018,6,21,0.98112,0.98375,0.97871,0.98255,62507,0.99585462
2018,6,20,0.98054,0.98396,0.97946,0.98113,69460,0.99855478
2018,6,19,0.97998,0.98092,0.9739,0.9805,49838,0.99935788
2018,6,18,0.98186,0.98239,0.97887,0.97995,1636,0.99943906
2018,6,17,0.9811,0.98233,0.98102,0.98186,62720,1.00194908
2018,6,15,0.9798,0.98441,0.97821,0.98235,65130,1.00049905
2018,6,14,0.98302,0.98341,0.97835,0.97981,58782,0.99741436
2018,6,13,0.98581,0.98807,0.98185,0.983,54828,1.00325573
2018,6,12,0.98796,0.99043,0.98526,0.9858,41005,1.00284842
2018,6,11,0.98507,0.9911,0.98507,0.98797,1737,1.00220126
2018,6,10,0.9863,0.98655,0.9848,0.98504,57451,0.99703432
2018,6,8,0.98911,0.98942,0.98164,0.98207,59381,0.99698489
2018,6,7,0.99238,0.99287,0.98812,0.9891,62748,1.00715835
2018,6,6,0.98795,0.99343,0.98535,0.99241,63739,1.00334648
2018,6,5,0.9892,0.99251,0.98635,0.98793,59607,0.99548574
2018,6,4,0.97995,0.98987,0.97994,0.98921,1614,1.00129564
2018,6,3,0.98022,0.98082,0.97985,0.97994,52969,0.99062889
2018,6,1,0.97994,0.9821,0.97589,0.98027,56864,1.00033676
2018,5,31,0.97604,0.98286,0.97147,0.97996,69307,0.99968376
2018,5,30,0.97661,0.98062,0.97062,0.9761,68674,0.99606106
2018,5,29,0.98065,0.98097,0.97636,0.97651,45345,1.00042004
2018,5,28,0.98042,0.98384,0.97968,0.98066,2336,1.00424983
2018,5,27,0.97995,0.98066,0.97969,0.98044,51283,0.99977566
2018,5,25,0.97612,0.98177,0.97545,0.97903,59584,0.99856187
2018,5,24,0.97129,0.97729,0.97005,0.97619,62384,0.99709917
2018,5,23,0.97139,0.97349,0.96877,0.97128,47750,0.99497024
2018,5,22,0.96942,0.97162,0.96813,0.97139,42994,1.00011325
2018,5,21,0.9689,0.9716,0.96659,0.96943,2298,0.99798227
2018,5,20,0.96767,0.96983,0.96767,0.96888,46056,0.99943266
2018,5,18,0.96361,0.96892,0.96152,0.96739,50261,0.99846214
2018,5,17,0.96124,0.96376,0.96014,0.96361,54702,0.99609258
2018,5,16,0.96148,0.96356,0.95882,0.96124,54861,0.9975405
2018,5,15,0.96354,0.96426,0.96053,0.96147,45094,1.00023927
2018,5,14,0.96492,0.9664,0.96275,0.96354,1510,1.00215295
2018,5,13,0.96389,0.9651,0.96367,0.96492,45355,1.00143222
2018,5,11,0.9615,0.96569,0.9604,0.96491,58357,0.99998964
2018,5,10,0.95895,0.96268,0.95543,0.96152,51073,0.99648672
2018,5,9,0.96479,0.96501,0.95698,0.95894,56868,0.99731675
2018,5,8,0.96815,0.97068,0.96409,0.96476,41939,1.0060692
2018,5,7,0.96827,0.969,0.96504,0.96814,1506,1.00350346
2018,5,6,0.96827,0.96898,0.96801,0.96824,51776,1.00010329
2018,5,4,0.96771,0.97069,0.96643,0.96847,68496,1.00023754
2018,5,3,0.96454,0.96896,0.96426,0.96761,69064,0.999112
2018,5,2,0.96182,0.96592,0.96072,0.96446,53518,0.99674456
2018,5,1,0.96638,0.96784,0.96166,0.96181,49269,0.99725235
2018,4,30,0.97271,0.97309,0.96603,0.96644,2002,1.00481384
2018,4,29,0.97251,0.97314,0.97243,0.9727,47890,1.00647738
2018,4,27,0.97251,0.9739,0.9711,0.9724,60619,0.99969158
2018,4,26,0.97155,0.97396,0.97115,0.97251,52130,1.00011312
2018,4,25,0.97506,0.97571,0.97108,0.97153,55543,0.9989923
2018,4,24,0.97681,0.97741,0.97384,0.97505,47914,1.00362315
2018,4,23,0.97866,0.97978,0.97609,0.97681,2230,1.00180504
2018,4,22,0.97816,0.97908,0.97745,0.9787,50336,1.00193487
2018,4,20,0.97853,0.97894,0.97247,0.97894,54419,1.00024522
2018,4,19,0.98332,0.98578,0.97742,0.97852,46937,0.99957096
2018,4,18,0.97548,0.98496,0.97499,0.98333,43465,1.00491559
2018,4,17,0.97785,0.97829,0.97366,0.97548,39574,0.99201692
2018,4,16,0.9801,0.98075,0.97728,0.97788,2146,1.00246033
2018,4,15,0.97809,0.98024,0.97785,0.98007,81655,1.00223954
2018,4,13,0.97642,0.98122,0.976,0.97891,96169,0.99881641
2018,4,12,0.97567,0.97822,0.97524,0.9764,98913,0.99743592
2018,4,11,0.97843,0.97856,0.97468,0.97567,110101,0.99925236
2018,4,10,0.97789,0.98188,0.97739,0.97843,101351,1.00282883
2018,4,9,0.98058,0.98285,0.97722,0.97791,4073,0.99946854
2018,4,8,0.98007,0.98129,0.97939,0.98059,122808,1.00274054
2018,4,6,0.97905,0.98267,0.9783,0.98044,103296,0.99984703
2018,4,5,0.9859,0.98596,0.97831,0.97905,136373,0.99858227
2018,4,4,0.98355,0.98759,0.98245,0.98593,117802,1.00702722
2018,4,3,0.98912,0.99228,0.98135,0.98355,91848,0.99758604
2018,4,2,0.99062,0.99167,0.98745,0.98911,2365,1.00565299
2018,4,1,0.99102,0.99204,0.99026,0.99063,140521,1.00153674
2018,3,30,0.98974,0.99269,0.98886,0.98986,111965,0.99922272
2018,3,29,0.9894,0.99311,0.98813,0.98975,139708,0.99988887
2018,3,28,0.98921,0.99149,0.98744,0.98942,131404,0.99966658
2018,3,27,0.99544,0.99601,0.98869,0.98922,115741,0.99979786
2018,3,26,0.99269,0.9987,0.99238,0.99544,4078,1.00628778
2018,3,25,0.99231,0.99311,0.9916,0.99268,145582,0.99722736
2018,3,23,0.99534,0.99828,0.99098,0.9921,156110,0.99941572
2018,3,22,1.00136,1.00343,0.99371,0.99528,135111,1.00320532
2018,3,21,1.00511,1.00578,0.99676,1.00136,101626,1.00610883
2018,3,20,1.0083,1.00903,1.0039,1.00509,116332,1.00372493
